City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Busselton,AU,72.12,clear sky,-33.65,115.3333,Observatory Guest House
4,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
7,Nautla,MX,75.09,clear sky,20.2167,-96.7833,Casa Blanca
11,Caravelas,BR,74.57,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
14,Maceio,BR,72.84,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
18,Makanya,TZ,84.27,scattered clouds,-4.3667,37.8333,
21,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Ampanihy,MG,92.16,clear sky,-24.7,44.75,Angora Hotel
24,Faanui,PF,82.69,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Kupang,ID,83.28,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
27,Hilo,US,71.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
31,Rikitea,PF,78.48,scattered clouds,-23.1203,-134.9692,People ThankYou
32,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
33,Kloulklubed,PW,82.9,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
36,Kirakira,SB,79.09,moderate rain,-10.4544,161.9205,SanBiz Lodge
39,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
43,Gushikawa,JP,70.63,clear sky,26.3544,127.8686,Kirari Guest House
47,Trinidad,BO,71.42,overcast clouds,-14.8333,-64.9,Hotel Piesta
50,Xuddur,SO,91.9,clear sky,4.1213,43.8894,Banjanay Hotel
52,Paita,PE,70.83,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
