City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Khatanga,RU,71.9667,102.5,5.02,83,7,9.89,clear sky
1,Busselton,AU,-33.65,115.3333,72.12,45,0,12.21,clear sky
2,Airai,TL,-8.9266,125.4092,67.86,81,73,1.95,broken clouds
3,Jamestown,US,42.097,-79.2353,38.17,65,20,6.91,few clouds
4,Vaini,TO,-21.2,-175.2,73.56,94,20,4.61,few clouds
5,Georgetown,MY,5.4112,100.3354,85.95,75,20,2.3,few clouds
6,Bluff,NZ,-46.6,168.3333,60.76,85,100,7.45,moderate rain
7,Nautla,MX,20.2167,-96.7833,75.09,86,7,6.4,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,37.51,81,20,25.32,few clouds
9,Bredasdorp,ZA,-34.5322,20.0403,68.65,51,30,18.99,scattered clouds
10,San Cristobal,VE,7.7669,-72.225,65.23,90,100,2.39,overcast clouds
11,Caravelas,BR,-17.7125,-39.2481,74.57,88,19,2.21,few clouds
12,Pevek,RU,69.7008,170.3133,-15.18,99,16,2.51,few clouds
13,Dikson,RU,73.5069,80.5464,6.51,79,100,18.41,overcast clouds
14,Maceio,BR,-9.6658,-35.7353,72.84,94,40,3.44,scattered clouds
15,Marrakesh,MA,31.6315,-8.0083,50.07,81,75,10.36,broken clouds
16,Saskylakh,RU,71.9167,114.0833,-3.53,95,100,5.57,overcast clouds
17,Thompson,CA,55.7435,-97.8558,24.96,80,0,4.61,clear sky
18,Makanya,TZ,-4.3667,37.8333,84.27,54,35,2.06,scattered clouds
19,Deputatskiy,RU,69.3,139.9,-4.27,99,97,2.55,overcast clouds
20,Pachino,IT,36.7186,15.0907,57.81,72,3,21.63,clear sky
21,Saint-Philippe,RE,-21.3585,55.7679,83.79,84,87,10.74,light rain
22,Ampanihy,MG,-24.7,44.75,92.16,35,2,8.88,clear sky
23,Upernavik,GL,72.7868,-56.1549,15.75,88,99,6.13,overcast clouds
24,Faanui,PF,-16.4833,-151.75,82.69,77,98,20.15,overcast clouds
25,Kupang,ID,-10.1667,123.5833,83.28,71,41,4.07,scattered clouds
26,Nuuk,GL,64.1835,-51.7216,29.01,100,75,9.22,broken clouds
27,Hilo,US,19.7297,-155.09,71.33,86,100,5.75,light rain
28,Saint George,US,37.1041,-113.5841,63.19,26,0,3.44,clear sky
29,Czersk,PL,53.7959,17.9765,36.46,76,99,17.54,overcast clouds
30,Mataura,NZ,-46.1927,168.8643,58.71,93,98,3.33,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,78.48,68,25,13.27,scattered clouds
32,Makakilo City,US,21.3469,-158.0858,73.72,69,0,9.22,clear sky
33,Kloulklubed,PW,7.0419,134.2556,82.9,72,27,7.81,scattered clouds
34,Aykhal,RU,66.0,111.5,10.74,77,100,5.12,overcast clouds
35,Yellowknife,CA,62.456,-114.3525,30.29,84,20,5.75,few clouds
36,Kirakira,SB,-10.4544,161.9205,79.09,88,100,10.49,moderate rain
37,Hobart,AU,-42.8794,147.3294,55.26,65,75,17.27,broken clouds
38,Severo-Kurilsk,RU,50.6789,156.125,35.6,72,7,8.68,clear sky
39,Kapaa,US,22.0752,-159.319,73.72,83,40,14.97,scattered clouds
40,Chunskiy,RU,56.0815,99.6342,34.56,87,100,7.43,overcast clouds
41,Tazovskiy,RU,67.4667,78.7,31.19,96,100,11.72,overcast clouds
42,Avarua,CK,-21.2078,-159.775,73.45,100,55,1.14,broken clouds
43,Gushikawa,JP,26.3544,127.8686,70.63,50,0,8.05,clear sky
44,Mar Del Plata,AR,-38.0023,-57.5575,54.88,64,0,9.22,clear sky
45,Sioux Lookout,CA,50.1001,-91.917,28.47,93,0,5.75,clear sky
46,Vestmanna,FO,62.1564,-7.1664,29.32,74,75,4.61,broken clouds
47,Trinidad,BO,-14.8333,-64.9,71.42,95,91,1.43,overcast clouds
48,Ribeira Grande,PT,38.5167,-28.7,55.8,88,40,4.61,scattered clouds
49,Ushuaia,AR,-54.8,-68.3,35.26,87,100,16.11,snow
50,Xuddur,SO,4.1213,43.8894,91.9,32,2,14.79,clear sky
51,Rio Grande,BR,-32.035,-52.0986,51.94,74,0,8.48,clear sky
52,Paita,PE,-5.0892,-81.1144,70.83,79,50,9.42,scattered clouds
53,Cape Town,ZA,-33.9258,18.4232,62.89,88,75,13.8,broken clouds
54,Albany,US,42.6001,-73.9662,34.52,84,16,3.04,few clouds
55,Buraydah,SA,26.326,43.975,86.45,8,0,8.63,clear sky
56,Qasigiannguit,GL,68.8193,-51.1922,25.05,82,43,3.94,scattered clouds
57,Longyearbyen,SJ,78.2186,15.6401,12.04,57,12,16.11,few clouds
58,Pangnirtung,CA,66.1451,-65.7125,2.64,94,100,1.92,overcast clouds
59,Binabalian,PH,16.4202,119.9279,82.09,75,95,15.55,overcast clouds
60,Morondava,MG,-20.2833,44.2833,83.48,58,0,3.78,clear sky
61,Nanakuli,US,21.3906,-158.1547,75.15,68,0,3.44,clear sky
62,Cabo San Lucas,MX,22.8909,-109.9124,68.61,83,50,9.46,scattered clouds
63,Tamandare,BR,-8.7597,-35.1047,75.45,80,100,2.68,overcast clouds
64,Bethel,US,41.3712,-73.414,39.94,79,0,0.0,clear sky
65,New Norfolk,AU,-42.7826,147.0587,54.9,63,100,3.0,overcast clouds
66,Palmito,CO,9.3333,-75.55,77.99,91,99,6.73,overcast clouds
67,Niquelandia,BR,-14.4739,-48.4597,72.34,60,85,2.33,overcast clouds
68,Leiyang,CN,26.4024,112.8591,65.53,68,75,4.92,broken clouds
69,Tasiilaq,GL,65.6145,-37.6368,12.36,92,88,2.26,overcast clouds
70,Beringovskiy,RU,63.05,179.3167,-5.3,86,100,12.84,overcast clouds
71,Mayahi,NE,13.9553,7.6712,90.93,7,99,5.39,overcast clouds
72,Nyrob,RU,60.733,56.7202,26.42,87,100,7.96,overcast clouds
73,Qaanaaq,GL,77.484,-69.3632,25.75,84,100,5.79,overcast clouds
74,Soyo,AO,-6.1349,12.3689,80.01,81,100,8.79,overcast clouds
75,Lahaina,US,20.8783,-156.6825,73.81,89,100,7.83,overcast clouds
76,Tautira,PF,-17.7333,-149.15,82.36,77,59,17.87,light rain
77,Chuy,UY,-33.6971,-53.4616,50.5,72,0,3.04,clear sky
78,Horsham,GB,51.064,-0.3272,54.52,84,75,12.66,broken clouds
79,Guerrero Negro,MX,27.9769,-114.0611,57.76,93,7,10.78,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,75.42,89,99,12.41,overcast clouds
81,Opuwo,NA,-18.0607,13.84,71.87,48,9,1.48,clear sky
