City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sisimiut,GL,2022-03-29 18:48:54,66.9395,-53.6735,26.24,92,95,6.89
1,High Rock,BS,2022-03-29 18:48:54,26.6208,-78.2833,77.02,62,0,1.05
2,Qaanaaq,GL,2022-03-29 18:48:55,77.484,-69.3632,15.19,90,100,2.04
3,Cidreira,BR,2022-03-29 18:48:55,-30.1811,-50.2056,76.17,71,0,12.95
4,Bengkulu,ID,2022-03-29 18:48:56,-3.8004,102.2655,75.76,84,100,4.72
5,Busselton,AU,2022-03-29 18:48:56,-33.65,115.3333,66.31,79,100,15.23
6,Bluff,NZ,2022-03-29 18:48:57,-46.6,168.3333,54.48,90,8,6.29
7,Lieksa,FI,2022-03-29 18:48:57,63.3167,30.0167,16.83,95,91,8.05
8,Longyearbyen,SJ,2022-03-29 18:48:58,78.2186,15.6401,12.04,62,0,4.61
9,Yellowknife,CA,2022-03-29 18:48:58,62.456,-114.3525,17.42,79,75,6.91
10,Ushuaia,AR,2022-03-29 18:48:58,-54.8,-68.3,44.26,70,75,27.63
11,Evensk,RU,2022-03-29 18:48:59,61.95,159.2333,13.86,79,100,12.71
12,Kyren,RU,2022-03-29 18:48:59,51.6828,102.1408,13.21,92,75,1.88
13,Thompson,CA,2022-03-29 18:49:00,55.7435,-97.8558,26.76,74,100,6.91
14,Marshall,US,2022-03-29 18:45:52,34.3834,-86.3333,75.33,61,0,10.36
15,Omsukchan,RU,2022-03-29 18:49:01,62.5333,155.8,-0.33,98,100,3.89
16,Ribeira Grande,PT,2022-03-29 18:49:01,38.5167,-28.7,66.6,82,40,6.91
17,Rikitea,PF,2022-03-29 18:49:02,-23.1203,-134.9692,77.67,70,17,5.41
18,Hithadhoo,MV,2022-03-29 18:49:02,-0.6,73.0833,82.49,66,11,6.02
19,Lebu,CL,2022-03-29 18:49:03,-37.6167,-73.65,57.24,54,2,16.69
20,Albany,US,2022-03-29 18:44:32,42.6001,-73.9662,35.46,34,100,4.0
21,Bethel,US,2022-03-29 18:44:40,41.3712,-73.414,38.57,42,40,12.66
22,Synya,RU,2022-03-29 18:49:05,65.3718,58.0387,2.79,97,99,4.14
23,Vanimo,PG,2022-03-29 18:49:05,-2.6741,141.3028,76.42,91,100,9.04
24,Castro,BR,2022-03-29 18:49:06,-24.7911,-50.0119,78.19,58,0,5.91
25,Kapaa,US,2022-03-29 18:49:06,22.0752,-159.319,74.48,86,20,8.05
26,Cape Town,ZA,2022-03-29 18:44:56,-33.9258,18.4232,64.11,85,20,16.11
27,Grindavik,IS,2022-03-29 18:49:07,63.8424,-22.4338,39.15,81,75,16.11
28,Ilmenau,DE,2022-03-29 18:49:07,50.6833,10.9,48.47,65,100,2.75
29,Hobart,AU,2022-03-29 18:49:08,-42.8794,147.3294,57.25,84,100,1.01
30,Verkhoyansk,RU,2022-03-29 18:49:09,67.5447,133.385,-11.52,100,99,2.84
31,Vaini,TO,2022-03-29 18:49:09,-21.2,-175.2,71.76,94,20,3.44
32,Linhares,BR,2022-03-29 18:49:10,-19.3911,-40.0722,83.88,62,98,6.85
33,Sibut,CF,2022-03-29 18:49:10,5.718,19.0739,84.4,33,29,4.16
34,Puerto Ayora,EC,2022-03-29 18:49:11,-0.7393,-90.3518,84.16,93,49,5.01
35,Nikolskoye,RU,2022-03-29 18:49:11,59.7035,30.7861,23.81,89,27,5.48
36,Baghdad,IQ,2022-03-29 18:47:50,33.3406,44.4009,60.71,27,0,2.3
37,Vila Velha,BR,2022-03-29 18:49:02,-20.3297,-40.2925,84.15,80,40,12.66
38,Esterhazy,CA,2022-03-29 18:49:12,50.65,-102.0843,31.05,94,100,14.54
39,Katsuura,JP,2022-03-29 18:49:13,35.1333,140.3,53.62,83,100,12.48
40,Mar Del Plata,AR,2022-03-29 18:44:39,-38.0023,-57.5575,70.88,58,0,13.8
41,Scarborough,GB,2022-03-29 18:49:14,54.2797,-0.4044,45.34,89,60,1.99
42,Ancud,CL,2022-03-29 18:49:15,-41.8697,-73.8203,54.23,56,17,16.28
43,Kurilsk,RU,2022-03-29 18:49:15,45.2333,147.8833,31.98,75,85,8.63
44,Viedma,AR,2022-03-29 18:49:16,-40.8135,-62.9967,58.32,36,98,28.83
45,Bredasdorp,ZA,2022-03-29 18:49:16,-34.5322,20.0403,63.77,70,10,12.26
46,Ponta Do Sol,PT,2022-03-29 18:50:17,32.6667,-17.1,66.7,69,28,7.4
47,Callaguip,PH,2022-03-29 18:50:17,18.0714,120.4867,78.82,94,75,2.3
48,Mataura,NZ,2022-03-29 18:50:18,-46.1927,168.8643,49.68,99,13,1.54
49,Verkhnyaya Inta,RU,2022-03-29 18:50:18,65.9811,60.3094,4.64,96,95,4.79
50,Moerai,PF,2022-03-29 18:50:19,-22.4333,-151.3333,80.55,71,91,5.37
51,Changping,CN,2022-03-29 18:50:20,40.2186,116.2197,46.04,85,100,2.21
52,Punta Arenas,CL,2022-03-29 18:50:21,-53.15,-70.9167,46.42,65,75,24.16
53,Namatanai,PG,2022-03-29 18:50:21,-3.6667,152.4333,80.35,79,49,8.05
54,Nhulunbuy,AU,2022-03-29 18:50:22,-12.2333,136.7667,77.61,88,100,4.61
55,Hilo,US,2022-03-29 18:47:35,19.7297,-155.09,75.25,77,75,4.0
56,Tianpeng,CN,2022-03-29 18:50:23,30.9866,103.9393,57.67,67,91,1.12
57,Severo-Kurilsk,RU,2022-03-29 18:50:23,50.6789,156.125,26.92,72,35,15.23
58,Marienburg,PL,2022-03-29 18:50:24,54.0359,19.0266,37.89,81,100,5.77
59,Tasiilaq,GL,2022-03-29 18:50:24,65.6145,-37.6368,24.96,74,100,12.68
60,Souillac,MU,2022-03-29 18:50:25,-20.5167,57.5167,80.98,69,40,5.75
61,Atuona,PF,2022-03-29 18:50:25,-9.8,-139.0333,79.23,78,81,17.02
62,Jamestown,US,2022-03-29 18:50:26,42.097,-79.2353,33.53,44,0,8.05
63,Barrow,US,2022-03-29 18:50:26,71.2906,-156.7887,-12.98,70,0,19.57
64,Tukrah,LY,2022-03-29 18:50:27,32.5341,20.5791,56.19,90,4,5.48
65,Ayan,RU,2022-03-29 18:50:28,56.45,138.1667,16.95,79,100,7.74
66,Cabo San Lucas,MX,2022-03-29 18:50:28,22.8909,-109.9124,85.3,54,100,1.99
67,Tazmalt,DZ,2022-03-29 18:50:29,36.3868,4.3989,61.41,67,98,7.45
68,Upernavik,GL,2022-03-29 18:50:29,72.7868,-56.1549,18.84,86,93,4.43
69,Carnarvon,AU,2022-03-29 18:49:42,-24.8667,113.6333,73.47,94,40,6.91
70,New Norfolk,AU,2022-03-29 18:50:30,-42.7826,147.0587,56.91,59,92,1.01
71,Provideniya,RU,2022-03-29 18:50:30,64.3833,-173.3,2.97,80,13,6.4
72,Port Lincoln,AU,2022-03-29 18:50:31,-34.7333,135.8667,62.76,75,96,15.05
73,Sur,OM,2022-03-29 18:50:31,22.5667,59.5289,81.95,33,0,1.92
74,Raga,SS,2022-03-29 18:50:31,8.4596,25.678,81.88,13,21,3.74
75,Svetlogorsk,BY,2022-03-29 18:50:32,52.6333,29.7333,39.92,67,100,5.64
76,Port Elizabeth,ZA,2022-03-29 18:48:11,-33.918,25.5701,67.1,89,0,9.22
77,Hermanus,ZA,2022-03-29 18:50:33,-34.4187,19.2345,67.8,75,1,19.35
78,Havoysund,NO,2022-03-29 18:50:33,70.9963,24.6622,32.23,84,100,31.41
79,San Cristobal,VE,2022-03-29 18:50:33,7.7669,-72.225,78.98,68,77,5.61
80,Sungairaya,ID,2022-03-29 18:50:34,0.7,108.9,77.81,86,100,2.98
81,Lotofaga,WS,2022-03-29 18:50:34,-13.9764,-171.8578,76.78,75,100,14.09
82,San Carlos De Bariloche,AR,2022-03-29 18:46:31,-41.1456,-71.3082,47.95,43,40,16.11
83,Esperance,AU,2022-03-29 18:50:35,-33.8667,121.9,62.44,78,100,13.06
84,Macas,EC,2022-03-29 18:46:33,-2.3167,-78.1167,80.35,57,75,2.3
85,Meshchovsk,RU,2022-03-29 18:50:36,54.3244,35.2808,31.69,86,100,9.13
86,Mayo,US,2022-03-29 18:50:36,38.8876,-76.5119,44.26,35,0,11.5
87,Klaksvik,FO,2022-03-29 18:50:37,62.2266,-6.589,34.72,52,100,17.85
88,Mazagao,BR,2022-03-29 18:50:37,-0.115,-51.2894,74.46,97,100,2.19
89,Boyolangu,ID,2022-03-29 18:50:37,-8.1181,111.8935,75.52,89,98,2.35
90,Fairbanks,US,2022-03-29 18:45:39,64.8378,-147.7164,33.82,64,100,8.05
91,Mbuji-Mayi,CD,2022-03-29 18:50:38,-6.15,23.6,68.4,97,99,1.48
92,Kavaratti,IN,2022-03-29 18:50:39,10.5669,72.642,83.14,77,28,7.49
93,Tuktoyaktuk,CA,2022-03-29 18:50:39,69.4541,-133.0374,-20.2,76,0,9.22
94,Dumai,ID,2022-03-29 18:49:22,1.6833,101.45,74.23,98,9,1.83
95,Bolobo,CD,2022-03-29 18:51:40,-2.1667,16.2333,72.39,95,100,3.76
96,Tuatapere,NZ,2022-03-29 18:50:13,-46.1333,167.6833,52.61,94,3,3.24
97,Lorengau,PG,2022-03-29 18:51:41,-2.0226,147.2712,81.52,79,54,11.9
98,Saint-Philippe,RE,2022-03-29 18:51:41,-21.3585,55.7679,76.59,87,100,11.3
99,Sao Filipe,CV,2022-03-29 18:51:42,14.8961,-24.4956,71.6,77,0,13.29
100,East London,ZA,2022-03-29 18:51:42,-33.0153,27.9116,74.34,73,0,17.27
101,Lompoc,US,2022-03-29 18:51:43,34.6391,-120.4579,68.02,75,20,19.57
102,Fortuna,US,2022-03-29 18:51:43,40.5982,-124.1573,52.93,94,100,9.22
103,Richards Bay,ZA,2022-03-29 18:51:43,-28.783,32.0377,74.26,75,0,16.4
104,Warwick,US,2022-03-29 18:51:44,41.7001,-71.4162,40.44,37,100,3.0
105,Tiksi,RU,2022-03-29 18:51:44,71.6872,128.8694,-0.89,97,100,4.94
106,Komsomolskiy,UZ,2022-03-29 18:51:45,40.4272,71.7189,45.32,57,29,0.0
107,Nola,IT,2022-03-29 18:49:52,40.922,14.5329,58.35,74,63,1.92
108,Belmonte,BR,2022-03-29 18:51:45,-15.8631,-38.8828,82.13,63,35,7.36
109,Smithers,CA,2022-03-29 18:51:46,54.7804,-127.1743,41.32,52,75,5.75
110,Yarim,YE,2022-03-29 18:51:46,14.298,44.3779,53.69,25,1,12.17
111,Nizhniy Ingash,RU,2022-03-29 18:51:47,56.2,96.53,15.49,92,11,3.36
112,Trairi,BR,2022-03-29 18:51:47,-3.2778,-39.2689,76.55,92,100,9.48
113,Kahului,US,2022-03-29 18:51:48,20.8947,-156.47,77.97,73,20,14.0
114,Havre-Saint-Pierre,CA,2022-03-29 18:51:48,50.2334,-63.5986,39.56,87,100,18.41
115,Butaritari,KI,2022-03-29 18:51:48,3.0707,172.7902,80.85,71,99,13.33
116,Kayerkan,RU,2022-03-29 18:51:49,69.3497,87.7602,24.53,73,100,10.07
117,Seoul,KR,2022-03-29 18:51:49,37.5683,126.9778,42.24,87,0,2.3
118,Along,IN,2022-03-29 18:51:50,28.1667,94.7667,67.41,68,82,1.86
119,Salalah,OM,2022-03-29 18:48:29,17.0151,54.0924,78.89,78,0,3.44
120,Boiro,ES,2022-03-29 18:51:51,42.65,-8.9,56.79,66,100,9.31
